Name,Id,TotalNumRide,TotalNumGetOff,NumRideByCard,NumGetOffByCard,NumRideByCash,AveNumGetOff
(구)국제여객터미널,35051,71,1921,24,1921,47,64
(구)국제여객터미널,35052,2520,37,2444,37,76,82
(주)경동세라믹스,89146,318,14,316,14,2,10
(주)경인양행앞,42096,982,956,965,956,17,62
(주)경인양행앞,42097,1423,3510,1388,3510,35,159
(주)대한특수금속,39050,1150,76,1127,76,23,39
(주)두남,39135,108,14,108,14,0,3
(주)세모입구(린나이코리아),37585,1367,1503,1355,1503,12,92
(주)세모입구(린나이코리아),40893,349,604,348,604,1,30
(주)스킨이데아,89388,149,192,149,192,0,11
(주)스킨이데아,89389,628,2,622,2,6,20
(주)씨피엔텍,39133,516,3691,510,3691,6,135
(주)씨피엔텍,39134,2291,390,2278,390,13,86
(주)창원,39029,3693,3363,3662,3363,31,227
(주)창원,39030,4324,3632,4313,3632,11,256
(주)하나금속,39124,11,10,11,10,0,0
17사단.다임메가타운,40895,1985,4438,1941,4438,44,207
17사단입구,40832,12,550,5,550,7,18
2001아울렛,40154,3616,5691,3557,5691,59,300
2001아울렛,40159,32488,14024,31955,14024,533,1500
2001아울렛,40162,11931,22776,11596,22776,335,1119
2001아울렛부평점,40158,5027,2087,4874,2087,153,229
2차풍림아이원,42584,39,12139,32,12139,7,392
3단지,40736,279,2271,268,2271,11,82
3단지관리사무소,40107,2634,618,2619,618,15,104
41번구종점,42174,2064,6186,2021,6186,43,266
510번차고지,36145,953,349,925,349,28,42
540번종점,39470,3666,28,3564,28,102,119
6공단사거리,37577,393,2633,382,2633,11,97
6공단입구,37442,639,978,616,978,23,52
6공단입구,37443,1284,1825,1227,1825,57,100
8부두,35181,343,3082,303,3082,40,110
8부두,35182,1845,2654,1758,2654,87,145
CJ인천2공장,35591,162,3295,154,3295,8,111
CJ인천2공장,35592,2627,83,2604,83,23,87
E편한세상,42453,3558,2674,3451,2674,107,201
E편한세상,42649,1311,2569,1289,2569,22,125
E편한세상,42726,2851,1415,2804,1415,47,137
GM물류센터,40568,469,1381,456,1381,13,59
GS25편의점,36142,860,1973,812,1973,48,91
GS내리주유소,44147,1,0,1,0,0,0
GS칼텍스,35168,657,61,621,61,36,23
GS칼텍스,35557,11,2709,11,2709,0,87
GS칼텍스,89220,64,144,60,144,4,6
GS칼텍스,89224,64,1472,61,1472,3,49
GS칼텍스주유소,39814,137,20,133,20,4,5
HD현대인프라코어,36081,741,1551,732,1551,9,73
HD현대인프라코어,36083,2119,1037,2086,1037,33,101
HD현대인프라코어후문,36077,36,658,8,658,28,22
HD현대인프라코어후문,36078,4030,894,4016,894,14,158
JC회관,37383,4358,4366,4261,4366,97,281
KCC아파트,42391,1638,953,1595,953,43,83
KG스틸,42008,2855,4891,2819,4891,36,249
KTX광명역4번출구,58057,153,6,153,6,0,5
KT부평지사,40381,11143,6499,10904,6499,239,569
KT부평지사,40384,6524,13394,6393,13394,131,642
KT서인천지사,42932,1693,2785,1667,2785,26,144
KT서인천지사,42933,1741,1023,1700,1023,41,89
KT송도지점,38568,487,307,476,307,11,25
KT온수분국,43523,608,337,576,337,32,30
KT인천공항지사,35095,312,75,307,75,5,12
KT인천공항지사,35109,8542,3092,7937,3092,605,375
KT인천지사,37415,6361,5065,6191,5065,170,368
KT인천지사,39319,9476,4610,9270,4610,206,454
KT중동지사,55081,813,179,795,179,18,32
KT중동지사,55082,202,1114,193,1114,9,42
LG마그나,89029,6009,1770,6003,1770,6,250
LG마그나,89264,2464,5532,2457,5532,7,257
LG물류센터,39043,284,151,281,151,3,14
LG물류센터,39044,55,386,55,386,0,14
LG아파트후문,42616,442,40,440,40,2,15
LG아파트후문,42617,11,200,11,200,0,6
LG전자(주),42297,4842,3268,4808,3268,34,261
LH1단지,35494,7282,3621,7077,3621,205,351
LH1단지,35495,3454,4639,3285,4639,169,261
LH49단지행복주택아파트,35768,445,768,444,768,1,39
LH49단지행복주택아파트,35769,1373,869,1348,869,25,72
LH7단지,35451,2494,2459,2421,2459,73,159
LH7단지,35452,2911,2950,2819,2950,92,189
LH미추홀3단지,37222,2971,6300,2803,6300,168,299
LH미추홀3단지,37635,6638,3252,6539,3252,99,319
LH웨스턴블루힐정문,89184,806,2383,798,2383,8,102
LH웨스턴블루힐정문,89185,3875,4279,3798,4279,77,263
NKG물류센터,89212,277,44,272,44,5,10
SK.GS주유소,89230,1348,1725,1340,1725,8,99
SK.GS주유소,89231,1665,1416,1651,1416,14,99
SKLPG충전사업소,35636,575,21,542,21,33,19
SKLPG충전사업소,35638,147,646,1,646,146,25
SK뷰아파트,42888,1684,6228,1651,6228,33,255
SK뷰아파트,42889,8407,1201,7841,1201,566,309
SK스카이뷰,37601,477,28150,420,28150,57,923
SK스카이뷰104동,37587,9236,62,9167,62,69,299
SK스카이뷰109동,37607,7590,87,7507,87,83,247
SK인천석유화학,42767,1226,695,1210,695,16,61
SK인천석유화학,42768,268,819,267,819,1,35
SK주유소,42956,603,456,591,456,12,34
SK주유소앞,35287,2069,132,2042,132,27,71
SK주유소앞,35539,100,2639,91,2639,9,88
SK충전소,35085,74,2887,29,2887,45,95
e편한세상 정문,38624,19401,832,19081,832,320,652
e편한세상(109동 앞),32062,759,1451,748,1451,11,71
e편한세상(109동앞),38643,1271,569,1202,569,69,59
e편한세상1차(정문),35662,625,1225,592,1225,33,59
e편한세상1차(정문),35663,1781,461,1761,461,20,72
e편한세상계양,41037,14784,3519,14660,3519,124,590
e편한세상계양,41038,5177,12974,5068,12974,109,585
e편한세상영종센텀베뉴정문,35510,1053,3489,1028,3489,25,146
e편한세상영종오션하임,35674,2052,1522,2019,1522,33,115
e편한세상영종오션하임,35761,771,1183,759,1183,12,63
e편한세상영종하늘도시,35646,332,568,324,568,8,29
e편한세상영종하늘도시,35647,201,342,183,342,18,17
gym80fitness,37081,2480,883,2428,883,52,108
가경공원,89365,999,719,991,719,8,55
가구단지사거리,37455,3718,5492,3644,5492,74,297
가구단지사거리,37456,3910,2161,3858,2161,52,195
가구전시장,42072,467,607,460,607,7,34
가구전시장,42074,762,659,758,659,4,45
가나안마을앞,43904,17,15,17,15,0,1
가나안마을앞,43905,25,6,25,6,0,1
가능포,43969,4,3,2,3,2,0
가능포,43970,0,46,0,46,0,1
가림고등학교,42078,14418,13587,14111,13587,307,903
가야,42807,793,3,767,3,26,25
가야,42808,50,1545,43,1545,7,51
가양역.우성아파트,25107,9581,6874,9516,6874,65,530
가오대입구,80033,250,396,222,396,28,20
가오대입구,80034,113,588,90,588,23,22
가원초등학교,42952,7020,4736,6924,4736,96,379
가원초등학교,89118,2724,5973,2651,5973,73,280
가재우물터,35678,5,5,5,5,0,0
가재우물터,35700,3,12,3,12,0,0
가재울사거리,42039,2476,5582,2458,5582,18,259
가재울사거리,42042,8173,5204,8089,5204,84,431
가재울역,42034,2388,2864,2374,2864,14,169
가재울역,42035,3855,2195,3784,2195,71,195
가정(루원시티)역,89050,5027,46884,4971,46884,56,1674
가정(루원시티)역,89051,62682,6893,62447,6893,235,2244
가정(루원시티)역,89075,78092,78552,77613,78552,479,5053
가정(루원시티)역,89078,89592,76497,88992,76497,600,5357
가정3동성당,42226,546,3487,523,3487,23,130
가정LH3단지정문앞,89041,18674,3840,18483,3840,191,726
가정고등학교,42200,11733,4781,11504,4781,229,532
가정고등학교,42203,3519,7619,3433,7619,86,359
가정교차로,89390,128,704,91,704,37,26
가정교차로,89391,526,3563,512,3563,14,131
가정동성당,89102,3655,3482,3514,3482,141,230
가정동성당,89105,2904,1886,2839,1886,65,154
가정보금자리,89119,1502,396,1492,396,10,61
가정보금자리,89120,15,1591,14,1591,1,51
가정여자중학교,42041,445,7487,433,7487,12,255
가정여중입구,89303,896,853,886,853,10,56
가정중앙시장역,42215,1388,1075,1363,1075,25,79
가정중앙시장역,42219,1130,1928,1112,1928,18,98
가정택지삼거리,89385,306,207,304,207,2,16
가정택지삼거리,89386,228,450,225,450,3,21
가정휴먼시아3단지,89186,1140,1453,1128,1453,12,83
가정휴먼시아3단지,89187,1702,1743,1662,1743,40,111
가좌2동행정복지센터,42073,5915,272,5855,272,60,199
가좌2동행정복지센터,42076,164,5255,147,5255,17,174
가좌3동행정복지센터,42075,13833,14439,13638,14439,195,912
가좌4동행정복지센터,42062,5100,7455,5003,7455,97,405
가좌고등학교,42060,16180,12378,15817,12378,363,921
가좌고등학교,42061,5870,8833,5678,8833,192,474
가좌공단,42526,76,11189,47,11189,29,363
가좌공단,42945,8414,15,8348,15,66,271
가좌교회,42055,3832,8871,3731,8871,101,409
가좌교회,42057,4397,3909,4324,3909,73,267
가좌녹지공원,42029,1260,3582,1253,3582,7,156
가좌녹지공원,42030,1778,985,1768,985,10,89
가좌농협,42066,8411,7599,8234,7599,177,516
가좌농협,42067,6146,5780,5945,5780,201,384
가좌동차고,42939,2864,347,2157,347,707,103
가좌동차고지,42522,666,1119,29,1119,637,57
가좌두산위브104동앞,42090,5642,3847,5551,3847,91,306
가좌사거리,42043,35,315,26,315,9,11
가좌사거리,42044,513,4573,493,4573,20,164
가좌진주아파트,42100,14453,30489,14222,30489,231,1449
가좌체육공원,42058,7751,1008,7662,1008,89,282
가좌초등학교,42069,4326,5151,4246,5151,80,305
가좌초등학교,42070,5252,2701,5136,2701,116,256
가좌테니스장,37454,2402,1044,2388,1044,14,111
가좌테니스장,37457,875,1550,868,1550,7,78
가좌현대아파트,42130,8873,2621,8620,2621,253,370
가좌현대아파트,42133,918,9061,900,9061,18,321
가좌홈플러스(쌍마아파트),42101,11042,8308,10655,8308,387,624
가좌홈플러스(쌍마아파트),42103,7951,11890,7674,11890,277,640
가좌환경사업소,42631,7674,3921,7612,3921,62,374
가좌환경사업소 북측,89341,224,408,218,408,6,20
가좌환경사업소북측,89342,20,215,20,215,0,7
가천대학교,38270,1340,987,1264,987,76,75
가천대학교,38284,8673,2703,8452,2703,221,366
가천대학교(노인복지회관),38269,960,998,939,998,21,63
가천의대,43237,20,54,20,54,0,2
가천의대,43897,24,5,20,5,4,0
가톨릭대,43156,0,1,0,1,0,0
가톨릭대,43325,4,61,4,61,0,2
가현오일뱅크,42734,40,14,39,14,1,1
가현중학교,42722,3319,3269,3250,3269,69,212
가현초교앞(루에블리아파트),89242,3818,4654,3620,4654,198,273
가현초교앞(센트럴타운아파트),89243,6048,1839,5932,1839,116,254
각곡,43602,2,96,2,96,0,3
각곡,43772,208,6,187,6,21,6
간석4거리,39538,309,301,291,301,18,19
간석4동새마을금고,39343,3366,6418,3248,6418,118,315
간석4동새마을금고,39346,3472,2765,3381,2765,91,201
간석4동행정복지센터,39403,4540,8746,4504,8746,36,428
간석4동행정복지센터,39412,5434,3182,5381,3182,53,277
간석금호어울림아파트,39334,28473,13754,27877,13754,596,1362
간석남부역,37429,3637,733,3544,733,93,140
간석남부역,37435,8228,2807,8050,2807,178,355
간석남부역,37529,1299,3167,1253,3167,46,144
간석동용광경로당,39394,1008,559,989,559,19,50
간석래미안.자이,39333,17612,20228,17418,20228,194,1220
간석북부역,39806,3612,70,3514,70,98,118
간석북부역,39807,110,2322,79,2322,31,78
간석북부역·우성1차,39368,12742,4557,12722,4557,20,558
간석북부역·우성1차,39370,5020,10059,4989,10059,31,486
간석사거리,39413,14324,9180,14095,9180,229,758
간석사거리,39414,4684,10099,4606,10099,78,476
간석사거리,39430,2106,2603,2071,2603,35,151
간석사거리(상인천중학교),39422,13244,30527,13037,30527,207,1411
간석사거리(상인천중학교),39426,34520,19625,34142,19625,378,1746
간석시장,39434,14022,33684,13757,33684,265,1538
간석시장,39436,61055,34549,60349,34549,706,3084
간석시장,39437,16309,22251,16059,22251,250,1243
간석오거리,39460,19509,15000,19079,15000,430,1113
간석오거리,39597,4969,4253,4944,4253,25,297
간석오거리(교원공제조합),39444,38594,30997,38179,30997,415,2244
간석오거리(인천웨딩홀),39406,8951,12388,8646,12388,305,688
간석오거리(인천웨딩홀),39423,36383,21717,35900,21717,483,1874
간석오거리역(7번출구),39447,17773,32240,17623,32240,150,1613
간석오거리역(8번출구),39449,62972,76078,62738,76078,234,4485
간석지구대,39535,552,774,540,774,12,42
간석지구대,39536,542,652,530,652,12,38
간석풍림아파트,92053,424,568,416,568,8,32
간석한신더휴아파트맞은편,37447,2211,489,2185,489,26,87
간재울초등학교,42347,6161,4039,5944,4039,217,329
간촌,43504,43,88,42,88,1,4
간촌,43518,83,32,80,32,3,3
갈산대동아파트,40550,271,772,264,772,7,33
갈산동아아파트,40567,1580,1620,1552,1620,28,103
갈산동입구,40622,60,5136,60,5136,0,167
갈산동천주교회,40652,896,4932,853,4932,43,188
갈산동천주교회맞은편,40650,5556,4764,5472,4764,84,332
갈산두산아파트,40544,4190,6061,4070,6061,120,330
갈산사거리,40631,2838,4330,2736,4330,102,231
갈산사거리,40634,3243,5051,3164,5051,79,267
갈산새마을금고,40635,9163,2056,8997,2056,166,361
갈산시장,40628,6947,6185,6814,6185,133,423
갈산시장.갈산도서관,40629,2431,7063,2357,7063,74,306
갈산역,40601,37628,12813,37411,12813,217,1627
갈산역,40602,11024,45952,10864,45952,160,1837
갈산역(1번출구),40604,26292,7342,26076,7342,216,1084
갈산역(부평4공단)4번출구,40606,6655,19537,6585,19537,70,844
갈산주공1단지,40578,3124,2072,3037,2072,87,167
갈산주공1단지105동,40813,7622,3292,7496,3292,126,352
갈산주공2단지,40562,297,1101,289,1101,8,45
갈산주공2단지,40577,4359,7845,4217,7845,142,393
갈산태화아파트,40542,454,1258,444,1258,10,55
갈산태화아파트,40664,5089,800,5015,800,74,189
갈산태화아파트,40666,274,1572,267,1572,7,59
갈산태화아파트,40667,626,2575,616,2575,10,103
갈월초등학교,40531,100,1188,96,1188,4,41
갈현경로당,41491,78,306,78,306,0,12
갈현경로당앞,41607,196,49,190,49,6,7
갈현교,41608,171,4,150,4,21,5
갈현교,41609,94,177,1,177,93,8
갈현교입구,41492,568,29,547,29,21,19
갈현교입구,41617,0,251,0,251,0,8
갈현동마을,41351,903,730,881,730,22,52
갈현동마을,41352,338,1695,336,1695,2,65
갑곶돈대.강화전쟁박물관,43365,13,6,12,6,1,0
갑곶돈대.강화전쟁박물관,43728,8,33,8,33,0,1
갑곶돈대입구,43367,8,10,7,10,1,0
갑곶돈대입구,43726,8,18,8,18,0,0
갑륭초교,43724,5,107,5,107,0,3
갑문,35125,38,700,34,700,4,23
갑문,35504,171,11,162,11,9,5
강남시장,42172,22500,14228,21907,14228,593,1184
강남시장,42173,13390,12278,13111,12278,279,828
강남역.역삼세무서,23287,1059,1379,1059,1379,0,78
강남역도시에빛,31076,2788,9201,2788,9201,0,386
강남역서초현대타워앞,31016,56868,35551,56790,35551,78,2981
강남중교,43213,72,19,72,19,0,2
